t,dt,f,v_true
3.58,0.02,11.59391,17.2298
3.6,0.02,-2.734605,17.40281
3.62,0.02,-2.544331,17.28926
3.64,0.02,1.381181,17.17951
3.66,0.02,10.40985,17.14828
3.68,0.02,9.190623,17.29762
3.7,0.02,6.9235,17.42257
3.72,0.02,7.148983,17.50218
3.74,0.02,9.763382,17.5863
3.76,0.02,4.552238,17.7227
3.78,0.02,4.197424,17.75489
3.8,0.02,0.9018338,17.77998
3.82,0.02,1.00128,17.73915
3.84,0.02,3.752337,17.70032
3.86,0.02,6.743851,17.71651
3.88,0.02,11.95632,17.79252
3.9,0.02,1.018541,17.97279
3.92,0.02,2.53315,17.9343
3.94,0.02,9.588679,17.9261
3.96,0.02,3.218891,18.05902
3.98,0.02,1.113152,18.06454
4,0.02,12.83746,18.02794
4.02,0.02,8.957148,18.22583
4.04,0.02,7.55028,18.34611
4.06,0.02,10.55552,18.43826
4.08,0.02,12.30331,18.59051
4.1,0.02,8.504913,18.77771
4.12,0.02,3.118756,18.88895
4.14,0.02,7.344392,18.89247
4.16,0.02,2.730322,18.9805
4.18,0.02,8.694197,18.97624
4.2,0.02,-0.9085907,19.09127
4.22,0.02,-0.2000587,19.01423
4.24,0.02,9.709557,18.95137
4.26,0.02,8.897779,19.08671
4.28,0.02,3.190732,19.2058
4.3,0.02,3.506581,19.21076
4.32,0.02,8.75756,19.22203
4.34,0.02,6.776975,19.33832
4.36,0.02,9.763805,19.415
4.38,0.02,11.95122,19.55141
4.4,0.02,-2.875536,19.73158
4.42,0.02,1.44554,19.61521
4.44,0.02,10.26847,19.58526
4.46,0.02,-1.03444,19.73177
4.48,0.02,10.7846,19.65222
4.5,0.02,10.44544,19.80906
4.52,0.02,5.352651,19.95912
4.54,0.02,6.06959,20.0073
4.56,0.02,7.720102,20.06983
4.58,0.02,11.19762,20.16537
4.6,0.02,1.200685,20.33047
4.62,0.02,0.9923313,20.29562
4.64,0.02,3.867283,20.25661
4.66,0.02,10.14793,20.27509
4.68,0.02,10.17638,20.41919
4.7,0.02,6.679603,20.56386
4.72,0.02,9.832726,20.63859
4.74,0.02,7.518578,20.77638
4.76,0.02,7.445609,20.86789
4.78,0.02,9.870484,20.95795
4.8,0.02,2.171215,21.0965
4.82,0.02,10.99828,21.08106
4.84,0.02,1.89769,21.24217
4.86,0.02,0.4081815,21.22126
4.88,0.02,-2.315329,21.17057
4.9,0.02,1.190147,21.0654
4.92,0.02,0.7066692,21.03035
4.94,0.02,3.344077,20.98562
4.96,0.02,10.53917,20.99364
4.98,0.02,8.084487,21.14556
5,0.02,-1.433394,21.24839
5.02,0.02,2.663873,21.16087
5.04,0.02,7.251855,21.15528
5.06,0.02,10.15419,21.24146
5.08,0.02,2.912575,21.38568
5.1,0.02,0.4829817,21.38507
5.12,0.02,7.388124,21.33587
5.14,0.02,1.625488,21.42477
5.16,0.02,8.560829,21.39843
5.18,0.02,0.240953,21.51078
5.2,0.02,-1.730982,21.45674
5.22,0.02,3.868943,21.36326
5.24,0.02,-0.3634696,21.38178
5.26,0.02,1.167319,21.31565
5.28,0.02,10.41283,21.28014
5.3,0.02,8.35215,21.42954
5.32,0.02,10.2333,21.53772
5.34,0.02,9.141385,21.68353
5.36,0.02,-2.183325,21.80749
5.38,0.02,5.513425,21.70497
5.4,0.02,8.017051,21.75637
5.42,0.02,8.030437,21.85785
5.44,0.02,5.003693,21.9596
5.46,0.02,10.12857,22.00082
5.48,0.02,-1.288643,22.14453
5.5,0.02,2.65068,22.0599
5.52,0.02,-0.4499826,22.05405
5.54,0.02,-1.351405,21.98619
5.56,0.02,10.2795,21.9003
5.58,0.02,10.67906,22.04703
5.6,0.02,6.968854,22.20175
5.62,0.02,2.123333,22.28227
5.64,0.02,4.180483,22.26588
5.66,0.02,-1.839139,22.29063
5.68,0.02,-1.406497,22.19499
5.7,0.02,9.761593,22.108
5.72,0.02,8.062553,22.24437
5.74,0.02,8.438217,22.34676
5.76,0.02,-0.2988253,22.45666
5.78,0.02,-0.9756574,22.39183
5.8,0.02,6.795403,22.31345
5.82,0.02,2.207445,22.3905
5.84,0.02,-0.05776884,22.37579
5.86,0.02,7.310012,22.31577
5.88,0.02,2.537069,22.40312
5.9,0.02,3.964925,22.395
5.92,0.02,0.3313942,22.41544
5.94,0.02,6.913646,22.3632
5.96,0.02,4.001556,22.44262
5.98,0.02,2.10779,22.46379
6,0.02,0.4582384,22.44708
6.02,0.02,10.03992,22.39739
6.04,0.02,0.5013788,22.53933
6.06,0.02,-1.573453,22.49049
6.08,0.02,1.39059,22.40016
6.1,0.02,5.028817,22.36911
6.12,0.02,9.579929,22.41083
6.14,0.02,9.472144,22.54357
6.16,0.02,10.4685,22.67415
6.18,0.02,9.31668,22.82468
6.2,0.02,-2.537246,22.30396
6.22,0.02,4.557394,22.21588
6.24,0.02,4.171317,22.25136
6.26,0.02,3.337052,22.27463
6.28,0.02,-2.204301,22.28023
6.3,0.02,-1.533986,22.1717
6.32,0.02,1.902272,22.07684
6.34,0.02,-2.686256,22.05249
6.36,0.02,5.280016,21.93393
6.38,0.02,4.821053,21.97898
6.4,0.02,-2.351853,21.74622
6.42,0.02,0.02576779,21.63803
6.44,0.02,10.20252,21.55589
6.46,0.02,1.578769,21.5708
6.48,0.02,-1.016466,21.49177
6.5,0.02,9.432059,21.38027
6.52,0.02,10.50812,21.48685
6.54,0.02,7.106987,21.6159
6.56,0.02,2.638536,21.67656
6.58,0.02,-0.7096964,21.64516
6.6,0.02,6.29391,21.54525
6.62,0.02,9.469853,21.58886
6.64,0.02,0.3566223,21.69486
6.66,0.02,9.044809,21.61784
6.68,0.02,9.19081,21.7174
6.7,0.02,-1.480811,21.82097
6.72,0.02,2.086286,21.70654
6.74,0.02,5.395895,21.66351
6.76,0.02,8.257418,21.68873
6.78,0.02,1.795254,21.77298
6.8,0.02,-0.2023885,21.72562
6.82,0.02,7.954989,21.63384
6.84,0.02,7.444295,21.67062
6.86,0.02,1.697315,21.72882
6.88,0.02,-1.144665,21.67561
6.9,0.02,10.3227,21.57842
6.92,0.02,6.297615,21.71376
6.94,0.02,-1.234294,21.7677
6.96,0.02,-1.047908,21.66915
6.98,0.02,8.70363,21.57448
7,0.02,8.829159,21.67741
7.02,0.02,-0.167135,21.78299
7.04,0.02,1.912677,21.7064
7.06,0.02,3.504464,21.67201
7.08,0.02,5.234617,21.67001
7.1,0.02,9.352349,21.70306
7.12,0.02,5.247593,21.81964
7.14,0.02,1.518816,20.7954
7.16,0.02,7.560125,20.73799
7.18,0.02,5.808258,20.78609
7.2,0.02,-0.1369775,20.79553
7.22,0.02,2.418544,20.68536
7.24,0.02,0.6011938,20.62613
7.26,0.02,7.63262,20.53055
7.28,0.02,1.781106,20.57559
7.3,0.02,7.100526,20.50356
7.32,0.02,3.438185,20.53798
7.34,0.02,8.811441,20.49909
7.36,0.02,7.222986,20.56768
7.38,0.02,10.39036,20.6045
7.4,0.02,-1.252451,20.70467
7.42,0.02,-1.984305,20.572
7.44,0.02,-2.656547,20.42469
7.46,0.02,9.479141,20.26389
7.48,0.02,10.0858,20.34588
7.5,0.02,6.436215,20.43994
7.52,0.02,10.77278,20.46104
7.54,0.02,-1.352554,20.56884
7.56,0.02,2.119248,20.43415
7.58,0.02,-0.5616381,20.36892
7.6,0.02,10.34071,20.25008
7.62,0.02,1.655244,20.34923
7.64,0.02,11.66899,20.27469
7.66,0.02,3.328998,20.40043
7.68,0.02,7.522665,20.35939
7.7,0.02,-1.376582,20.40221
7.72,0.02,4.171201,20.26705
7.74,0.02,7.816219,20.24283
7.76,0.02,2.461368,20.29153
7.78,0.02,11.04009,20.23311
7.8,0.02,4.148275,20.34629
7.82,0.02,6.451859,20.3216
7.84,0.02,10.11063,20.34301
7.86,0.02,-2.285731,20.43758
7.88,0.02,-0.06286689,20.28424
7.9,0.02,6.937459,20.17534
7.92,0.02,11.10952,20.20646
7.94,0.02,5.448165,20.32101
7.96,0.02,9.931707,20.32237
7.98,0.02,6.386892,20.41333
8,0.02,0.9858514,20.43344
8.02,0.02,3.644311,20.34551
8.04,0.02,11.27311,20.31076
8.059999,0.02,11.4955,20.42859
8.08,0.02,5.918647,20.55086
8.099999,0.02,2.840115,20.56163
8.12,0.02,4.12409,20.5108
8.139999,0.02,2.647533,20.48564
8.16,0.02,-1.455861,20.43094
8.179999,0.02,5.860739,20.29419
8.2,0.02,11.54239,20.30376
8.22,0.02,6.662982,20.42698
8.24,0.02,-2.525044,20.45261
8.26,0.02,5.312964,20.2945
8.28,0.02,5.655912,20.29311
8.3,0.02,-1.109473,20.2986
8.32,0.02,7.452611,20.16878
8.34,0.02,10.9451,20.21017
8.36,0.02,2.712361,20.32146
8.38,0.02,2.30108,20.26806
8.4,0.02,3.054441,20.20646
8.42,0.02,4.845075,20.15989
8.44,0.02,11.1777,20.14915
8.46,0.02,5.887767,20.26509
8.48,0.02,-1.898448,20.27521
8.5,0.02,1.102448,20.1296
8.52,0.02,1.073021,20.04402
8.54,0.02,5.426699,19.95784
8.559999,0.02,4.377952,19.95875
8.58,0.02,-2.948208,19.93867
8.599999,0.02,11.80824,19.77209
8.62,0.02,3.69821,19.90059
8.639999,0.02,0.9438791,19.86694
8.66,0.02,6.389315,19.77817
8.679999,0.02,5.356252,19.79833
8.7,0.02,9.409811,19.79782
8.72,0.02,11.83391,19.87838
8.74,0.02,6.806497,20.00742
8.76,0.02,-0.5575048,20.03593
8.78,0.02,11.67343,19.91713
8.8,0.02,6.046974,20.04297
8.82,0.02,11.50698,20.05626
8.84,0.02,11.18059,20.17879
8.86,0.02,2.592676,20.29476
8.88,0.02,2.433545,20.23899
8.9,0.02,3.928925,20.18
8.92,0.02,7.180532,20.15095
8.94,0.02,9.388372,20.18693
8.96,0.02,0.3212793,20.26706
8.98,0.02,3.05839,20.16586
9,0.02,3.958672,20.11939
9.02,0.02,-2.031885,20.09094
9.04,0.02,11.71242,19.94267
9.059999,0.02,10.73325,20.06925
9.08,0.02,0.8095796,20.17629
9.099999,0.02,9.537148,20.08486
9.12,0.02,10.87962,20.16795
9.139999,0.02,6.719708,20.27791
9.16,0.02,6.093586,20.30468
9.179999,0.02,7.756944,20.31892
9.2,0.02,1.055875,20.36642
9.22,0.02,1.924776,20.27991
9.24,0.02,1.831564,20.21078
9.26,0.02,0.4265298,20.13976
9.28,0.02,-0.4599642,20.04065
9.3,0.02,7.368844,19.92382
9.32,0.02,5.953524,19.96355
9.34,0.02,7.03823,19.975
9.36,0.02,6.831874,20.00814
9.38,0.02,1.077449,20.03715
9.4,0.02,9.753527,19.95105
9.42,0.02,4.474014,20.03849
9.44,0.02,6.378975,20.02033
9.46,0.02,0.2914765,20.04026
9.48,0.02,9.687201,19.93846
9.5,0.02,2.38398,20.02458
9.52,0.02,5.308748,19.96462
