t,dt,f,v_true
0,0.02,0,0
0.02,0.02,0,0.1962
0.04,0.02,0,0.3924
0.06,0.02,0,0.5886
0.08,0.02,0,0.7848
0.09999999,0.02,0,0.981
0.12,0.02,0,1.1772
0.14,0.02,0,1.3734
0.16,0.02,0,1.5696
0.18,0.02,0,1.7658
0.2,0.02,0,1.962
0.22,0.02,0,2.1582
0.24,0.02,0,2.3544
0.26,0.02,0,2.5506
0.28,0.02,0,2.7468
0.3,0.02,0,2.943
0.32,0.02,0,3.139199
0.34,0.02,0,3.335399
0.36,0.02,0,3.531599
0.38,0.02,0,0.1772825
0.4,0.02,50,0.064991
0.42,0.02,50,0.8874565
0.44,0.02,50,1.827678
0.46,0.02,28.76647,2.768644
0.48,0.02,15.38262,3.285089
0.5,0.02,23.64283,3.533884
0.52,0.02,7.813627,3.94788
0.54,0.02,50,4.045289
0.56,0.02,17.83094,4.986431
0.58,0.02,40.07014,5.284189
0.6,0.02,14.57319,6.026733
0.62,0.02,31.87775,6.259336
0.64,0.02,25.08657,6.838031
0.66,0.02,40.47316,7.280903
0.68,0.02,1.70593,8.031507
0.7,0.02,3.138034,8.006765
0.72,0.02,11.28887,8.010665
0.74,0.02,9.12134,8.177584
0.76,0.02,5.940091,8.301149
0.78,0.02,10.48882,8.361092
0.8,0.02,24.90168,8.512008
0.82,0.02,32.60472,8.951181
0.84,0.02,6.063613,9.544415
0.86,0.02,11.3688,9.606827
0.88,0.02,14.69656,9.775344
0.9,0.02,11.96709,10.01041
0.92,0.02,22.87365,10.1909
0.94,0.02,12.09395,10.58951
0.96,0.02,11.5252,10.77253
0.98,0.02,10.0188,10.94417
1,0.02,22.71387,11.08569
1.02,0.02,22.55839,11.4811
1.04,0.02,23.55669,11.87341
1.06,0.02,18.62207,12.28569
1.08,0.02,8.063896,12.59927
1.1,0.02,8.27885,12.70168
1.12,0.02,6.649202,12.8084
1.14,0.02,7.38449,12.88253
1.16,0.02,11.85299,12.97135
1.18,0.02,15.54593,13.14956
1.2,0.02,4.643239,13.40161
1.22,0.02,11.01932,13.43562
1.24,0.02,12.59343,13.59714
1.26,0.02,11.90086,13.79015
1.28,0.02,3.82811,13.96931
1.3,0.02,12.50848,13.98701
1.32,0.02,1.445264,14.17831
1.34,0.02,18.85402,14.14836
1.36,0.02,14.11368,14.46659
1.38,0.02,13.3971,14.69
1.4,0.02,6.847193,14.89908
1.42,0.02,1.087265,14.97717
1.44,0.02,16.81436,14.94005
1.46,0.02,16.28019,15.21748
1.48,0.02,5.915538,15.48422
1.5,0.02,12.92845,15.54368
1.52,0.02,2.875199,15.74338
1.54,0.02,0.9139397,15.74203
1.56,0.02,18.52072,15.70145
1.58,0.02,10.94836,16.013
1.6,0.02,8.258748,16.17311
1.62,0.02,7.431175,16.27942
1.64,0.02,14.9918,16.36919
1.66,0.02,11.12176,16.61016
1.68,0.02,14.60429,16.77374
1.7,0.02,2.082136,17.00696
1.72,0.02,4.152013,16.98975
1.74,0.02,7.258348,17.01393
1.76,0.02,12.24615,17.10023
